"","variable","coef","p_value"
"(Intercept)","(Intercept)",0.0374344861469307,0.00250811842385003
"age","age",-0.000559763050172515,1.3201798668e-17
"sex2","sex2",-0.0089128542064985,6.37857706528926e-06
"nr_medication","nr_medication",0.000218796240255184,0.000277222044730858
"COPD_morb1","COPD_morb1",-0.0073058626528336,0.0685034642843042
"migraine_morb1","migraine_morb1",0.00533315726599376,0.345265879642106
"hartfalen_morb1","hartfalen_morb1",0.0132945911873638,0.118473025821333
"nr_contacts_resp","nr_contacts_resp",-0.00264719677848076,0.0993158771433607
"osteop_morb1","osteop_morb1",-0.0103734480776831,0.0420987920726503
"poor_immune_response1","poor_immune_response1",0.00102609621583829,0.675645954734298
"alcmisb_morb1","alcmisb_morb1",0.13647390747924,1.88484479993489e-14
"postalcode10","postalcode10",-0.00247365316340908,0.844741942170075
"postalcode11","postalcode11",0.0246751794099245,0.104244695972968
"postalcode12","postalcode12",-0.0790169662792888,1.06065523757453e-09
"postalcode13","postalcode13",-0.00339057437187221,0.975541662080202
"postalcode14","postalcode14",-0.0244078557199738,0.0889460762535748
"postalcode15","postalcode15",-0.0397522690169349,0.0053555689979102
"postalcode16","postalcode16",-0.0055643983144635,0.82145870439621
"postalcode17","postalcode17",0.0394382010049491,0.010490638906369
"postalcode18","postalcode18",0.0484699227641321,0.00525290253166345
"postalcode19","postalcode19",0.00342259197797492,0.802738715158482
"postalcode20","postalcode20",0.0418499564764687,0.00134488354176972
"postalcode21","postalcode21",-0.00602471216881131,0.683812306033295
"postalcode22","postalcode22",0.0330572500498743,0.020828811907738
"postalcode23","postalcode23",-0.0421288582941469,0.00740764700350219
"postalcode24","postalcode24",-0.0119362650548924,0.363509695145673
"postalcode25","postalcode25",0.0337501666093344,0.0160651775228453
"postalcode26","postalcode26",0.000383299667793561,0.978837065374789
"postalcode27","postalcode27",0.0495081472493736,0.00175190997291459
"postalcode28","postalcode28",-0.127136012726049,0.106069951246576
"postalcode29","postalcode29",0.0141520966871284,0.357729819908221
"postalcode30","postalcode30",-0.00252801654745858,0.840863547954058
"postalcode31","postalcode31",-0.0274603576672521,0.0350155008008147
"postalcode32","postalcode32",-0.0026202584521369,0.904616478639855
"postalcode33","postalcode33",0.0117268305703144,0.465003584497582
"postalcode34","postalcode34",-0.0224325658997963,0.0858939678495929
"postalcode35","postalcode35",-0.0250708620264597,0.0888218767479724
"postalcode36","postalcode36",-0.0325647281076856,0.42369540821711
"postalcode37","postalcode37",-0.0225028713314268,0.689187616971343
