"p.c","p.t","missing.c","missing.t","stddiff","stddiff.l","stddiff.u"
"type_AB_nose",0,3.121,0,0,NA,NA,NA
"outcome_4",0.794,0.8,0,0,0.014,-0.026,0.054
"sex",0.669,0.668,0,0,0.004,-0.037,0.044
"postalcode",38.498,39.493,0,0,NA,NA,NA
"poor_immune_response",0.211,0.211,0,0,0.001,-0.039,0.042
"diab_morb",0.063,0.073,0,0,0.04,0,0.08
"HIV_morb",0.002,0.001,0,0,0.024,-0.017,0.064
"kanker_morb",0.084,0.079,0,0,0.018,-0.022,0.058
"gezichtst_morb",0.034,0.036,0,0,0.006,-0.034,0.046
"gehoorst_morb",0.037,0.038,0,0,0.005,-0.035,0.045
"aangaf_morb",0.004,0.003,0,0,0.019,-0.021,0.059
"coronhartz_morb",0.047,0.048,0,0,0.003,-0.037,0.044
"hartfalen_morb",0.011,0.011,0,0,0.002,-0.039,0.042
"beroerte_morb",0.018,0.02,0,0,0.018,-0.023,0.058
"chrnek_morb",0.052,0.051,0,0,0.003,-0.037,0.044
"RA_morb",0.025,0.025,0,0,0,-0.04,0.04
"atrose_morb",0.091,0.09,0,0,0.002,-0.038,0.042
"osteop_morb",0.034,0.037,0,0,0.012,-0.028,0.053
"parkinson_morb",0.002,0.002,0,0,0.016,-0.025,0.056
"epilepsie_morb",0.011,0.011,0,0,0.004,-0.036,0.044
"alcmisb_morb",0.002,0.002,0,0,0.001,-0.04,0.041
"dementie_morb",0.002,0.002,0,0,0.017,-0.023,0.058
"schizofr_morb",0.003,0.002,0,0,0.016,-0.025,0.056
"Angst_morb",0.029,0.024,0,0,0.029,-0.011,0.07
"Depressie_morb",0.041,0.042,0,0,0.003,-0.037,0.043
"versthand_morb",0.002,0.002,0,0,0.008,-0.032,0.048
"COPD_morb",0.064,0.061,0,0,0.014,-0.027,0.054
"astma_morb",0.147,0.157,0,0,0.029,-0.011,0.069
"hartritme_morb",0.014,0.015,0,0,0.006,-0.035,0.046
"migraine_morb",0.024,0.029,0,0,0.032,-0.008,0.073
"hartklep_morb",0.005,0.003,0,0,0.021,-0.02,0.061
"neurast_morb",0.019,0.016,0,0,0.022,-0.018,0.062
"persoon_morb",0.02,0.017,0,0,0.027,-0.013,0.067
"fever",0,0.002,0,0,0.041,0.001,0.082
